y	x1	x2
-2.871963541	-3	-0.23249411
-2.908422446	-2.99	-0.12308452
-2.84105617	-2.98	-0.17425676
-2.98412626	-2.97	-0.13318652
-2.938757689	-2.96	-0.17251753
-2.853005594	-2.95	-0.1803481
-2.925538626	-2.94	-0.15208469
-2.919908482	-2.93	-0.16787316
-2.746516711	-2.92	-0.19753287
-2.57941787	-2.91	-0.2668289
-2.694115975	-2.9	-0.21091893
-2.625247493	-2.89	-0.28439669
-2.670583712	-2.88	-0.25891807
-2.644427415	-2.87	-0.30125039
-2.541891962	-2.86	-0.28364683
-2.635215727	-2.85	-0.27706115
-2.459418566	-2.84	-0.32808343
-2.57265397	-2.83	-0.32799239
-2.327750052	-2.82	-0.3473229
-2.536938034	-2.81	-0.29391746
-2.414345592	-2.8	-0.41087048
-2.41140726	-2.79	-0.34480342
-2.429843411	-2.78	-0.35073897
-2.430731218	-2.77	-0.3643431
-2.246371073	-2.76	-0.40417823
-2.240420186	-2.75	-0.44028265
-2.384936168	-2.74	-0.4005217
-2.133568182	-2.73	-0.40514955
-2.198016357	-2.72	-0.35463971
-2.077227382	-2.71	-0.45560508
-2.202687963	-2.7	-0.41011329
-2.050873977	-2.69	-0.46065404
-1.964376267	-2.68	-0.44309058
-2.209117449	-2.67	-0.41372459
-2.045253935	-2.66	-0.4859347
-2.082172834	-2.65	-0.43273263
-2.148932693	-2.64	-0.47606856
-1.952381589	-2.63	-0.49433083
-1.814111084	-2.62	-0.51155416
-1.671457519	-2.61	-0.55492506
-1.60267804	-2.6	-0.54608309
-1.544410074	-2.59	-0.52566824
-1.885940894	-2.58	-0.52466527
-1.851029767	-2.57	-0.48701095
-1.735628093	-2.56	-0.53100108
-1.500707601	-2.55	-0.53790553
-1.502063233	-2.54	-0.59864765
-1.746134102	-2.53	-0.56090002
-1.457587137	-2.52	-0.61847917
-1.635196304	-2.51	-0.56465443
-1.553943536	-2.5	-0.53125161
-1.311602087	-2.49	-0.60874253
-1.338314375	-2.48	-0.61492614
-1.116683025	-2.47	-0.64803763
-1.219607	-2.46	-0.63979887
-1.127571339	-2.45	-0.64621066
-1.198524355	-2.44	-0.61673731
-1.257968707	-2.43	-0.62409622
-1.105642626	-2.42	-0.65841241
-1.234596741	-2.41	-0.64024048
-1.043680985	-2.4	-0.68097561
-1.036129895	-2.39	-0.67674436
-1.12405181	-2.38	-0.67314188
-0.736077049	-2.37	-0.72466732
-0.59423237	-2.36	-0.71939334
-0.801788056	-2.35	-0.71309155
-0.482665155	-2.34	-0.76545625
-0.481265276	-2.33	-0.75853867
-0.660775104	-2.32	-0.70968905
-0.510834245	-2.31	-0.76355974
-0.819310433	-2.3	-0.73361669
-0.723130999	-2.29	-0.69574715
-0.592117511	-2.28	-0.76240778
-0.727586097	-2.27	-0.7260357
-0.419144312	-2.26	-0.75820806
-0.442369116	-2.25	-0.76265418
-0.507213868	-2.24	-0.78239192
-0.276176996	-2.23	-0.78485611
-0.197615614	-2.22	-0.82754843
-0.218639594	-2.21	-0.82164829
-0.122919097	-2.2	-0.79824788
-0.145435779	-2.19	-0.79625734
0.182526342	-2.18	-0.8818852
-0.277922819	-2.17	-0.82629686
-0.227088489	-2.16	-0.80633896
-0.2364257	-2.15	-0.79802442
-0.187883458	-2.14	-0.83839185
-0.136156248	-2.13	-0.82658906
0.013536377	-2.12	-0.86736616
0.000569137	-2.11	-0.84275656
0.259048675	-2.1	-0.87337516
0.202379182	-2.09	-0.90202736
0.166321711	-2.08	-0.86228628
0.096411288	-2.07	-0.87031682
